permit_no,well_id,year,sampling_date,pH,chloride,nitrate_n,cadmium,arsenic,cyanide,mercury,organic_p,diazinon,parathion,phenol,lead,chromium,TCE,PCE,TCA_111,judgment,exceeded,source,remark
D199840061,F-343,2018,2018-10-15,7.9,5.4,0.8,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840061,F-343,2021,2021-12-01,7.9,5.2,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840061,F-343,2024,2024-10-25,7.8,3.8,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.6↔0.6, Δ=0.00)"
D199840062,F-344,2018,2018-10-15,7.9,6.6,1.2,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840062,F-344,2021,2021-11-25,7.8,6,0.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840062,F-344,2024,2024-10-29,7.6,4.5,0.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.5↔0.4, Δ=0.10)"
D199840063,F-345,2018,2018-10-15,7.7,7.3,1.9,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840063,F-345,2021,2021-11-25,7.6,6.8,1.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840063,F-345,2024,2024-05-31,8.0,5.9,1.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=1.6↔1.7, Δ=0.10)"
D199840064,F-346,2018,2018-10-15,7.7,5.8,0.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840064,F-346,2021,2021-11-25,8,5.4,0.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840064,F-346,2024,2024-10-30,7.8,4.4,0.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.8↔0.8, Δ=0.00)"
D199840065,F-347,2018,2018-10-15,7.5,6.9,1.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840065,F-347,2021,2021-11-23,7.8,6.5,0.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840065,F-347,2024,2024-10-30,7.8,5.3,1.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.2↔1.2, Δ=0.00)"
D199840115,R-007,2018,2018-10-15,6.8,21.7,8,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840115,R-007,2021,2021-10-05,7.4,18.8,9.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840115,R-007,2024,2024-11-18,7.7,14.0,5.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=5.6↔5.5, Δ=0.10)"
D199840116,F-356,2018,2018-10-15,7.2,28.1,16.1,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840116,F-356,2021,2021-10-26,8.4,10.1,1.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840116,F-356,2024,2024-10-22,7.1,18.6,24.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(질산성질소),,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=24.4↔24.6, Δ=0.20)"
D199840117,F-354,2018,2018-10-15,7.7,15.4,7.1,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840117,F-354,2021,2021-11-08,7.2,14.9,8.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840117,F-354,2024,2024-11-07,8.6,7.6,1.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(수소이온농도),,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.3↔1.3, Δ=0.00)"
D199840118,F-355,2018,2018-10-15,8,11.1,3.9,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840118,F-355,2021,2021-10-19,6.7,10.7,3.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840118,F-355,2024,2024-10-16,7.5,7.7,2.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.3↔2.4, Δ=0.10)"
D199840119,F-351,2018,2018-10-15,8,11.7,4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840119,F-351,2021,2021-10-19,7.8,9.3,2.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840119,F-351,2024,2024-10-16,7.5,7.8,2.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.4↔2.4, Δ=0.00)"
D199840120,F-352,2018,2018-10-15,8.5,7.9,불검출,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840121,F-350,2018,2018-10-15,7.8,8.9,0.8,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840121,F-350,2021,2021-11-15,8.4,8.3,0.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840121,F-350,2024,2024-06-03,8.3,7.0,0.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=0.7↔0.5, Δ=0.20)"
D199840136,F-340,2018,2018-10-15,7.5,8.2,1.3,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199840136,F-340,2021,2021-10-14,7.9,8,1.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199840136,F-340,2024,2024-10-04,7.6,7.2,1.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.6↔1.6, Δ=0.00)"
D199920008,F-364,2019,2019-10-15,7.8,4.7,불검출,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199920008,F-364,2022,2022-01-19,8.2,4.6,0.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199920008,F-364,2025,2025-11-28,8.0 ,4.8 ,0.8 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199920009,F-365,2019,2019-10-15,7.5,6.5,1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199920009,F-365,2021,2021-11-30,7.4,7.2,1.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199920009,F-365,2024,2024-11-25,7.4,5.9,1.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.7↔1.8, Δ=0.10)"
D199920027,S-011,2019,2019-10-15,8.3,10,5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199920027,S-011,2022,2022-01-18,8,10.3,6.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199920027,S-011,2025,2025-11-26,8.4 ,8.2 ,4.0 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199920028,S-010,2019,2019-10-15,7.1,5.3,1.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199920028,S-010,2022,2022-01-20,7.2,4.8,1.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199920028,S-010,2025,2025-11-24,7.2 ,3.9 ,1.7 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199930026,F-366,2023,2023-10-15,6.8,24.1,15.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199930047,R-008,2023,2023-10-15,8.7,18.1,1.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합,수소이온농도,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199930049,R-009,2023,2023-10-15,8.3,15.3,4.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199930075,F-367,2023,2023-10-15,8.5,30.2,1.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합,수소이온농도,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199930079,S-012,2023,2023-10-15,7.5,16.9,7.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940023,F-391,2019,2019-10-15,7.6,80.7,4.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940023,F-391,2022,2022-10-06,7.7,133.4,3.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940023,F-391,2025,2025-11-21,7.9 ,109.0 ,4.7 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199940024,F-395,2018,2018-10-15,7.4,7.5,0.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940024,F-395,2021,2021-10-13,7.8,7.7,1.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940024,F-395,2024,2024-10-02,7.7,6.7,1.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.3↔0.9, Δ=0.40)"
D199940025,F-394,2018,2018-10-15,7.3,11,3.1,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940025,F-394,2021,2021-10-14,7.6,10.1,3.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940025,F-394,2024,2024-10-02,7.8,9.0,3.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=3.4↔3.3, Δ=0.10)"
D199940036,F-392,2019,2019-10-15,7,12.3,3.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940036,F-392,2022,2022-10-07,7.6,11,4.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940036,F-392,2025,2025-11-21,7.9 ,11.2 ,3.8 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199940037,R-010,2018,2018-10-15,7.5,6,0.2,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940037,R-010,2021,2021-10-05,8.2,5.7,0.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940037,R-010,2024,2024-11-11,8.1,4.3,0.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.3↔0.4, Δ=0.10)"
D199940040,F-384,2018,2018-10-15,7.6,16.8,7.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940040,F-384,2019,2019-10-15,6.6,15.4,10.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940040,F-384,2021,2021-11-19,7.6,10.7,4.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940040,F-384,2024,2024-11-07,7.5,10.2,5.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=5.9↔6.0, Δ=0.10)"
D199940041,F-383,2018,2018-10-15,7.3,28.6,18,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940041,F-383,2021,2021-11-11,7.4,24.3,17,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940041,F-383,2024,2024-11-18,7.1,21.2,18.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=18.3↔17.8, Δ=0.50)"
D199940042,F-382,2018,2018-10-15,7.3,29.9,21.4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,부적합,질산성질소,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940042,F-382,2021,2021-10-26,8.2,13.9,5.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940042,F-382,2024,2024-10-23,7.6,14.1,11.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=11.1↔11.0, Δ=0.10)"
D199940050,F-387,2018,2018-10-15,7.3,6.8,1.7,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940050,F-387,2021,2021-11-25,7.8,6.1,0.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940050,F-387,2024,2024-10-30,7.7,5.4,1.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.4↔1.4, Δ=0.00)"
D199940051,F-388,2018,2018-10-15,7.8,5.2,불검출,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940051,F-388,2021,2021-11-25,7.9,5.5,0.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940051,F-388,2024,2024-05-29,7.7,3.9,0.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=0.1↔0.2, Δ=0.10)"
D199940052,F-389,2018,2018-10-15,7.9,8.2,1.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940052,F-389,2021,2021-12-01,7.7,7,0.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940052,F-389,2024,2024-05-29,7.6,6.9,1.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=1.7↔1.6, Δ=0.10)"
D199940053,R-011,2018,2018-10-15,7.1,8.2,0.7,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940053,R-011,2021,2021-10-13,8.2,7.1,0.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940053,R-011,2024,2024-10-04,7.8,6.3,0.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.8↔0.8, Δ=0.00)"
D199940058,F-390,2018,2018-10-15,7.7,7,1.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940058,F-390,2021,2021-11-25,7.6,6.1,1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940058,F-390,2024,2024-10-29,7.6,4.7,0.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.8↔0.7, Δ=0.10)"
D199940059,F-393,2019,2019-10-15,7.6,17.8,3.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940059,F-393,2022,2022-10-07,7.7,23,4.3,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940059,F-393,2025,2025-11-21,8.0 ,20.1 ,4.1 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199940065,F-353,2018,2018-10-15,8.1,12.8,2.4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940065,F-353,2019,2019-10-15,8.4,7.7,0.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940065,F-353,2021,2021-11-19,8,11.2,3.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940065,F-353,2024,2024-11-11,7.6,9.4,2.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.8↔2.9, Δ=0.10)"
D199940073,F-385,2018,2018-10-15,7.8,15.8,7.3,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940073,F-385,2021,2021-10-26,7.7,12.7,5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940073,F-385,2024,2024-10-22,7.5,11.8,4.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=4.1↔4.0, Δ=0.10)"
D199940098,F-396,2018,2018-10-15,7.4,8.4,0.8,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940098,F-396,2021,2021-10-15,7.9,9.3,0.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940098,F-396,2024,2024-10-08,7.4,8.6,1.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.4↔1.4, Δ=0.00)"
D199940112,S-015,2018,2018-10-15,7.4,22.6,14.5,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940112,S-015,2021,2021-10-25,7.3,22,17.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940112,S-015,2024,2024-10-22,7.3,20.4,15.0,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=15.0↔14.9, Δ=0.10)"
D199940113,S-014,2018,2018-10-15,8.5,7.6,0.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199940113,S-014,2021,2021-11-08,8,8.9,2.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199940113,S-014,2024,2024-11-07,7.8,7.4,3.0,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=3.0↔3.0, Δ=0.00)"
D200010013,F-401,2022,2022-10-15,7.6,7.6,1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,제주시DB(2022 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D200010013,F-401,2024,2024-10-15,7.6,7.6,1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,제주시DB(2024 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D200010013,F-401,2025,2025-11-25,7.6,7.6,1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,제주시DB(2025 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); NO3 매칭 채취일 추정 (하반기, NO3=1.0↔1.1, Δ=0.10)"
D200020009,F-404,2019,2019-10-15,7.4,11.8,0.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D200020009,F-404,2022,2022-01-17,8.3,12.1,1.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D200020009,F-404,2025,2025-11-28,8.3 ,11.8 ,1.5 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
