eup_dong,법정리명,area_km2,lon,lat,parent_grid_row,parent_grid_col
조천읍,대흘리,14.70261276218142,126.66546972733715,33.48902334733704,0.0,3.0
조천읍,북촌리,7.9471307021876125,126.69408333965536,33.53771948853503,0.0,3.0
조천읍,선흘리,31.44914666520674,126.707830811662,33.48504387414378,0.0,3.0
조천읍,신촌리,7.887148167183014,126.62004591416976,33.5234705257216,0.0,3.0
조천읍,신흥리,20.931317993868007,126.73655689739968,33.345972047636444,0.0,3.0
조천읍,와산리,8.62731653296027,126.68433495958556,33.480178568542165,0.0,3.0
조천읍,와흘리,11.92559626053836,126.64175296347676,33.483603476520955,0.0,3.0
조천읍,조천리,7.471628500795354,126.6435729361404,33.526764142016425,0.0,3.0
조천읍,함덕리,8.775008566190813,126.66746664489423,33.53079901306342,0.0,3.0
추자면,연평리,6.80777680724135,126.9559579640794,33.50543299779908,,
표선면,가시리,56.27343055074532,126.73122485237602,33.38291611451628,3.0,3.0
표선면,성읍리,38.00646566982751,126.78296540184108,33.40783826005692,3.0,3.0
표선면,토산리,9.247701290454632,126.77333191235732,33.324788026074906,3.0,3.0
표선면,표선리,11.178726449379006,126.82529650127992,33.3247659897511,3.0,3.0
표선면,하천리,11.652012518687927,126.8200904174832,33.353425945588484,3.0,3.0
한경면,고산리,9.730918379296371,126.18385809951673,33.30222100695829,1.0,0.0
한경면,금등리,1.8315984222003177,126.2017846067682,33.35151593794576,1.0,0.0
한경면,낙천리,6.279303786931455,126.23007024152967,33.31092414945568,1.0,0.0
한경면,두모리,1.1282834284405412,126.18743474955458,33.353556972139074,1.0,0.0
한경면,신창리,2.064574803147985,126.180909929707,33.3427881793453,1.0,0.0
한경면,용수리,8.175865382602273,126.17989867658642,33.32385683765622,1.0,0.0
한경면,저지리,14.993902049955272,126.27021273676678,33.327020620168824,1.0,0.0
한경면,조수리,10.846390436459426,126.2194482326464,33.3212175837689,1.0,0.0
한경면,청수리,12.937876560487908,126.24988020447437,33.30489326501182,1.0,0.0
한경면,판포리,6.628427121484621,126.21273007728274,33.35853440856259,1.0,0.0
한경면,한원리,4.974296705270199,126.2002900701931,33.33634071652728,1.0,0.0
한림읍,귀덕리,5.569931778178861,126.29128897670604,33.43173730404632,0.0,0.0
한림읍,금능리,5.627916434428672,126.23909344120922,33.37020562455964,0.0,0.0
한림읍,금악리,30.49625646769709,126.31614707649788,33.35159778710638,0.0,0.0
한림읍,대림리,2.982999576115839,126.27855710781814,33.42255861641549,0.0,0.0
한림읍,동명리,3.743870461117967,126.27346775592224,33.395535712416944,0.0,0.0
한림읍,명월리,5.536395125521033,126.27571653599736,33.379394541572424,0.0,0.0
한림읍,상대리,11.29727980430632,126.29811504289188,33.39615941962762,0.0,0.0
한림읍,상명리,5.45046157210357,126.27167791178668,33.35963432818438,0.0,0.0
한림읍,수원리,1.2346342849404073,126.26808886991438,33.4311014031846,0.0,0.0
한림읍,옹포리,1.2750420211934927,126.2552245381698,33.400732885897455,0.0,0.0
한림읍,월령리,3.0750291935408383,126.22550895984908,33.370611137003266,0.0,0.0
한림읍,월림리,4.3702453180776,126.2502948657754,33.34997051859841,0.0,0.0
한림읍,한림리,2.6083524713507145,126.27131177625192,33.41246175006128,0.0,0.0
한림읍,한수리,0.1649888479124099,126.26276930014347,33.42169877307744,0.0,0.0
한림읍,협재리,7.971271162937259,126.24608666025064,33.38302794862071,0.0,0.0
