timestamp,file,action,permit_before,well_id_before,permit_after,well_id_after,year,reason,source_sheet
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"107,230",D-141,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"410,085",D-233,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"321,002",D-279,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"186,977",F-059,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"212,879",F-130,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"246,937",F-143,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"369,690",F-166,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"30,981",F-167,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"284,360",F-232,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"500,867",F-239,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"95,671",F-423,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"290,310",F-452,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"142,841",F-454,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"9,029",F-470,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"103,803",F-484,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"152,959",F-552,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"128,743",F-565,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"201,835",F-583,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"162,416",F-597,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"46,473",F-609,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"124,498",F-612,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"273,500",F-654,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"444,895",R-005,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"371,723",U-041,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_*.csv,제주시 분기→월 가중치 적용,,,,,2018-2025,베이지안 가중치 (서귀포 사전 + 읍면동 갱신),제주시 5.이용량조사
