permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W200140142,F-465,2017,4884.24,39.48,3429.12,7797.3,609.12,8417.7,1768.14,11897.58,8460.0,17337.36,12749.22,14046.42,850,25500,,
W200140143,F-460,2017,3338.88,3262.91,4064.4,5663.56,5165.96,6772.73,5864.88,7205.75,6100.39,10867.51,7076.61,8804.92,900,27000,,
W200140156,F-463,2017,792.34,394.18,374.27,1604.58,469.83,2154.05,1174.57,1114.85,1799.68,5864.9,4112.99,6601.49,700,21000,,
W200140157,F-466,2017,0.0,0.0,1805.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,25500,,
W200140158,R-019,2017,2548.89,2453.0,2696.07,2604.64,2914.61,3249.11,3554.62,6600.8,7860.75,7303.25,7987.86,4252.61,850,25500,,
W200140159,R-018,2017,2510.43,2698.31,4594.46,5270.04,6777.1,8963.73,6117.51,8567.98,7935.04,3651.05,4414.57,3086.07,600,18000,,
W200210003,F-471,2017,1014,570,3504,5528,5227,7479,6292,8854,6838,3828,4391,4168,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200210004,F-470,2017,5437,9724,7196,21,2676,2645,25,45,40,20,19,19,300,8400,,사후관리DB(원본월별·5년이용량분석)
W200210007,F-469,2017,630,461,2220,5707,4796,10445,11443,13012,10763,8588,7262,7297,600,16500,,사후관리DB(원본월별·5년이용량분석)
W200220011,F-472,2017,2368.08,1969.11,2604.57,2993.89,4996.78,3354.25,3806.31,5151.22,3611.65,2857.14,2574.0,2216.86,800,24000,,
W200220012,F-474,2017,4293.76,6655.41,13399.29,15006.44,15093.31,23677.61,18708.17,24602.64,20807.59,15014.48,13079.15,7562.74,700,21000,,
W200220013,F-473,2017,9525.17,11718.6,13777.86,15445.3,19250.72,23854.07,17359.64,22916.58,19563.81,8669.98,10226.5,8888.25,600,18000,,
W200220014,F-475,2017,2083.78,2182.71,4312.74,10472.87,10118.3,14770.2,13639.66,14723.95,12717.25,8207.95,6101.04,5107.97,700,21000,,
W200230012,F-481,2017,2201,2107,2175,4178,3137,6492,5016,8642,6580,5343,4827,6784,800,19200,,사후관리DB(원본월별·5년이용량분석)
W200230013,F-484,2017,163,548,521,448,619,1854,2009,2106,4405,2796,3035,2337,800,17000,,사후관리DB(원본월별·5년이용량분석)
W200230014,F-489,2017,147,173,639,388,1165,721,460,4198,753,332,2123,8243,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200230015,F-488,2017,12735,13255,15050,13558,14869,18621,14020,15722,16073,15174,18362,15856,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200230016,F-477,2017,237,927,2165,1254,1572,3379,1474,2984,4380,2483,4263,2177,1000,30000,,사후관리DB(원본월별·5년이용량분석)
W200230017,F-478,2017,0,0,0,9,15,13,13,7,7,4,4,0,,,,사후관리DB(원본월별·5년이용량분석)
W200230020,F-483,2017,45,48,45,132,29,132,1176,798,281,2020,184,291,800,17000,,사후관리DB(원본월별·5년이용량분석)
W200230021,F-482,2017,3215,3261,2981,4135,4097,6270,6455,7231,7855,7061,6029,5010,800,16800,,사후관리DB(원본월별·5년이용량분석)
