permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
D199620043,F-116,2017,3063.6,2714.32,2936.32,4182.48,4410.4,5564.8,5310.24,7246.08,5523.36,4792.24,5289.52,5547.04,700,21000,
D199620044,F-118,2017,6855.81,5569.15,8161.49,18439.49,13738.26,22078.67,17967.47,22166.22,25538.93,19729.95,15264.73,10529.24,900,27000,
D199620045,D-263-1,2017,4101.53,5663.22,9315.29,12167.47,11967.88,15394.45,13232.47,13185.23,14085.68,5876.53,5715.02,3161.47,700,21000,
D199640096,F-196,2017,4206.7,2870.43,2297.48,3737.4,1319.31,4937.97,1485.16,2930.74,2710.23,13096.93,7354.19,7855.52,600,18000,
D199640098,F-182,2017,9872.72,9861.28,13513.5,13482.04,12744.16,14076.92,13553.54,17709.12,11165.44,10138.7,11557.26,14305.72,600,18000,
D199640099,F-185,2017,6005.08,6772.38,4511.61,8712.62,8404.85,10128.08,8206.28,7446.07,5538.46,5724.26,4152.78,3558.51,800,24000,
D199640100,F-172,2017,2459.38,2431.03,2564.03,2731.92,2391.79,3924.54,1724.62,486.21,250.73,2533.51,3314.06,4541.56,800,24000,
D199640149,F-186,2017,5366.27,6865.92,8200.79,12609.4,10841.27,16567.19,15031.58,16135.61,10746.76,7804.34,7243.13,6249.5,700,21000,
D199640150,F-184,2017,11989.01,13034.43,15713.85,21468.03,18738.4,25042.27,21427.87,21739.11,21519.48,17251.23,16589.84,15612.2,800,24000,
D199640151,F-199,2017,991.74,1302.13,1978.93,2298.4,2970.66,4781.53,3300.74,5596.11,2720.84,1088.64,1462.62,1660.97,600,18000,
D199640152,F-183,2017,8167.8,12641.29,16353.93,20458.91,18884.02,24615.23,22352.81,24151.38,16128.42,10598.89,13061.14,10389.88,600,18000,
D199640183,D-327,2017,1233.08,933.32,2411.18,3099.71,2434.74,4640.4,4004.23,4033.03,4238.54,1725.26,1281.51,1239.62,700,21000,
D199640225,F-202,2017,6771.88,8961.03,13456.15,12590.87,16321.3,20795.87,14146.21,17225.52,16028.19,6918.98,11501.7,5544.27,700,21000,
D199640226,F-203,2017,2272.37,3257.97,5508.83,3908.75,5422.77,6643.67,5234.53,5293.69,5100.07,3469.07,3962.54,3174.6,600,18000,
D199640227,F-190,2017,2152.95,1702.0,2849.13,6082.71,2587.28,6309.23,4195.76,4195.76,4374.48,11593.93,10741.9,12443.89,900,27000,
D199640228,F-189,2017,8479.85,15504.97,15782.31,22658.29,10096.81,12250.13,4960.75,7679.23,11865.52,20272.11,11800.1,19641.55,800,24000,
D199720002,D-320,2017,20905.53,25129.64,21118.01,16317.88,17075.66,14584.72,13404.52,19272.2,14321.03,11561.27,14446.47,11658.56,600,18000,
D199720003,F-117,2017,2079.44,1966.51,4003.12,4203.66,4355.53,7840.73,5790.5,6787.38,5311.53,4223.13,4803.35,2642.13,600,18000,
D199720017,F-226,2017,7477.94,8284.11,10028.85,8956.21,10312.29,16123.56,11479.97,14504.41,11588.59,8272.23,7588.26,6972.17,600,18000,
D199720018,F-222,2017,3182.22,3057.72,3100.05,4531.8,4472.04,6160.26,6202.59,7046.7,7201.08,4940.16,3944.16,3617.97,600,18000,
D199720019,F-224,2017,28391.04,28377.09,21072.87,20037.78,19962.45,25698.69,20079.63,26705.88,20110.32,12917.7,15732.81,9374.4,950,28500,
D199720020,F-223,2017,2520.7,5085.72,8451.27,9141.0,9440.16,15503.69,12091.05,17996.69,11448.41,7551.02,9080.06,4794.87,750,22500,
D199720021,F-225,2017,1613.75,2923.65,4314.58,6036.36,6563.03,10114.62,6812.85,9331.38,6883.75,3825.06,5583.97,3139.72,600,18000,
D199720024,F-221,2017,2246.84,3236.97,4102.7,4006.23,5481.27,6446.01,4379.43,4288.03,3688.88,2439.79,3038.94,2543.88,800,24000,
D199720026,F-231,2017,8230.52,10260.8,12078.78,12889.42,17169.66,23911.23,15695.42,18108.97,12420.68,12837.95,14226.71,11825.1,550,16500,
D199720027,F-230,2017,13657.26,19976.32,11813.69,12450.65,14409.58,20995.45,15041.73,14681.19,12090.11,7201.19,8888.51,5540.3,600,18000,
D199720028,F-227,2017,1661.12,2872.16,6714.08,6739.6,9491.12,10658.08,9878.56,8287.04,6052.88,6257.04,5217.68,2763.12,700,21000,
D199720029,F-229,2017,5133.13,5455.79,6971.42,7473.59,9573.2,12424.94,10511.66,10886.59,8293.9,6416.98,6703.28,5026.33,600,18000,
D199720030,F-228,2017,9865.79,12839.37,13655.55,19617.03,17631.46,24576.18,25253.94,25349.4,19454.75,15598.16,14185.36,12362.07,850,25500,
D199740086,F-289,2017,6213.04,5278.9,6720.43,8931.45,1559.14,7385.75,3612.23,4112.9,13.44,0.0,0.0,43.68,1200,36000,
D199740087,F-277,2017,6028.8,9019.2,12514.35,18273.41,15534.55,20838.5,20721.0,18299.88,14836.18,10227.28,11486.66,9338.6,700,21000,
D199740088,F-281,2017,4153.76,6528.15,8273.53,13379.31,12642.63,18264.1,15354.19,15178.52,13161.14,9905.57,9956.57,7814.52,600,18000,
D199740089,F-276,2017,8307.41,10537.58,12065.47,20125.19,17064.06,24905.06,18543.7,16390.72,13161.26,10296.34,10236.29,7749.86,600,18000,
D199740090,F-287,2017,4154.68,3318.03,4120.9,8283.38,10265.88,16465.43,15075.34,15688.54,16143.24,14342.62,7431.14,11409.14,600,18000,
D199740091,F-278,2017,31479.68,31364.31,28460.58,31547.2,30534.27,31859.53,30950.7,32419.45,32064.93,30531.46,32135.27,31091.38,1000,30000,
D199740092,F-280,2017,5917.72,5724.25,6912.53,8809.8,9606.15,12860.2,11125.21,10849.35,11235.05,7479.21,6192.32,6011.33,800,24000,
D199740093,F-279,2017,4574.09,6014.18,6510.77,9584.07,9062.66,14232.65,12422.88,13741.58,10265.49,5012.74,6027.98,6113.5,600,18000,
D199740094,F-290,2017,2846.72,1160.72,2324.01,5678.06,5191.22,8919.37,10008.34,10467.0,9162.78,10848.78,7225.69,5093.85,600,18000,
