permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
Y199320007,D-063,2024,14569.0,16926.0,17314.0,14936.0,9157.0,14759.0,11527.0,13095.0,17218.0,13578.0,13506.0,11450.0,2100,44000,,
Y199320009,D-101,2024,11127.0,12030.0,15283.0,15999.0,16071.0,22104.0,12697.0,21287.0,23355.0,19335.0,15914.0,14047.0,720,21600,,
Y199320011,W-018,2024,13041.0,14262.0,14886.0,7779.0,8096.0,9936.0,13850.0,18282.0,17366.0,16298.0,15682.0,12767.0,1300,23000,,
Y199320831,F-054,2024,17016.0,18299.0,14715.0,18153.0,17217.0,20436.0,18130.0,20713.0,19606.0,17959.0,18162.0,17073.0,700,21000,,
Y199320832,D-250,2024,9071.0,8099.0,7157.0,8259.0,9235.0,8861.0,7340.0,10129.0,9468.0,9459.0,9187.0,8996.0,600,18000,,
Y199320836,F-045,2024,4337.0,4479.0,6359.0,10956.0,9153.0,11822.0,9145.0,7770.0,13684.0,10396.0,8040.0,5221.0,700,16000,,
Y199320837,D-229,2024,9535.0,9626.0,11524.0,16727.0,16051.0,18440.0,12942.0,22539.0,18259.0,14266.0,14708.0,13245.0,2000,17550,,
Y199320838,D-228,2024,3696.0,5175.0,7434.0,12594.0,12138.0,16525.0,9756.0,14507.0,17073.0,13141.0,9191.0,8064.0,950,28500,,
Y199320839,D-178,2024,20684.0,23518.0,22741.0,25938.0,25098.0,25511.0,15912.0,26301.0,28533.0,21332.0,20063.0,18227.0,1300,30000,,
Y199320841,D-087,2024,15776.0,18298.0,18265.0,25458.0,23664.0,27523.0,23715.0,23823.0,31559.0,27497.0,24654.0,14888.0,950,28500,,
Y199320842,D-108,2024,2307.0,2864.0,3146.0,1823.0,1644.0,1203.0,1033.0,2020.0,2794.0,870.0,730.0,523.0,100,2000,,
Y199340974,U-050,2024,1417.0,1432.0,1709.0,1040.0,771.0,3652.0,2789.0,3339.0,8259.0,8340.0,5351.0,1258.0,1700,51000,,
Y199340975,W-028,2024,4792.0,4895.0,5388.0,4769.0,4194.0,5624.0,8751.0,6875.0,9678.0,5715.0,4057.0,3710.0,800,24000,,
Y199340976,F-004,2024,2896.0,3211.0,2755.0,5404.0,4528.0,5062.0,3967.0,6502.0,7680.0,10296.0,7068.0,2814.0,1100,20070,,
Y199340977,F-006,2024,20378.0,27111.0,25210.0,31087.0,28656.0,35102.0,27862.0,34694.0,36353.0,29999.0,27195.0,24155.0,1700,21840,,
Y199340978,F-012,2024,3.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,5.0,1500,45000,,
Y199340979,F-013,2024,2154.0,2144.0,2012.0,2365.0,3044.0,3965.0,2365.0,3229.0,5541.0,6378.0,4096.0,1639.0,1500,45000,,
Y199340980,F-014,2024,714.0,504.0,1257.0,1523.0,1566.0,2642.0,510.0,2387.0,12397.0,9109.0,702.0,2439.0,1150,17550,,
Y199340982,F-019,2024,5443.0,4794.0,8520.0,8406.0,7610.0,7573.0,4001.0,9418.0,8918.0,7408.0,6303.0,4663.0,800,14460,,
Y199340983,F-024,2024,2178.0,1854.0,2048.0,2085.0,2398.0,2676.0,1689.0,3430.0,22596.0,13402.0,1947.0,2583.0,1200,20340,,
Y199340984,F-025,2024,5120.0,7878.0,9670.0,11009.0,13882.0,14235.0,8597.0,16016.0,14806.0,10071.0,7552.0,6029.0,700,21000,,
Y199340986,F-035,2024,3384.0,2178.0,1788.0,3356.0,2790.0,3424.0,3373.0,2231.0,4398.0,5620.0,7756.0,2360.0,1150,21060,,
Y199340987,F-038,2024,3503.0,3831.0,2793.0,3521.0,4254.0,6012.0,3468.0,4570.0,7182.0,13350.0,9363.0,4147.0,1050,31500,,
Y199340988,F-039,2024,15613.0,23504.0,8318.0,9390.0,8923.0,12118.0,7862.0,11288.0,12338.0,7423.0,5242.0,2203.0,650,17550,,
Y199340990,F-043,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,9639,,
Y199340991,F-050,2024,867.0,1011.0,916.0,3328.0,2942.0,6267.0,3438.0,3033.0,6676.0,7308.0,8296.0,969.0,950,28500,,
Y199340992,F-052,2024,2986.0,4940.0,3751.0,4487.0,3161.0,3721.0,1475.0,2355.0,8252.0,3734.0,865.0,832.0,950,28500,,
Y199340993,D-017,2024,3.0,0.0,0.0,0.0,567.0,1162.0,679.0,770.0,2709.0,3338.0,2973.0,309.0,1150,34500,,
Y199340994,D-040,2024,4878.0,4949.0,4821.0,5046.0,4397.0,6674.0,8324.0,7414.0,13016.0,10700.0,9895.0,6594.0,1400,42000,,
Y199340995,D-048,2024,7438.0,7278.0,6972.0,8098.0,8141.0,6687.0,5140.0,4873.0,8664.0,9282.0,8371.0,5824.0,1050,13500,,
Y199340996,D-083,2024,1933.0,428.0,275.0,675.0,477.0,781.0,262.0,690.0,1283.0,1217.0,239.0,134.0,1000,30000,,
Y199340997,D-089,2024,3164.0,4077.0,4252.0,6719.0,8294.0,7592.0,5050.0,6091.0,9581.0,14012.0,10795.0,6258.0,900,27000,,
Y199340998,D-090,2024,8117.0,8614.0,8210.0,10579.0,5855.0,7109.0,5784.0,6719.0,8616.0,10469.0,7737.0,6817.0,1000,30000,,
Y199340999,D-095,2024,4297.0,4571.0,5388.0,6642.0,5444.0,7902.0,3662.0,3964.0,6063.0,7211.0,6914.0,2981.0,950,28500,,
Y199341000,D-099,2024,709.0,343.0,346.0,979.0,949.0,1104.0,825.0,435.0,486.0,1351.0,606.0,5.0,1000,30000,,
Y199341001,D-184,2024,2582.0,3036.0,6385.0,4787.0,4660.0,6338.0,4561.0,4941.0,7862.0,7971.0,6001.0,3665.0,1200,36000,,
